accordingly|əˈkɔrdɪŋli|adv.|因此；相应地|He was ill, accordingly he rested.|他病了，因此他休息了。|听力功能词与连接表达
also|ˈɔlsoʊ|adv.|也；而且|She also plays the guitar.|她也弹吉他。|听力功能词与连接表达
too|tu|adv.|也；太|I want to join too.|我也想参加。|听力功能词与连接表达
indeed|ɪnˈdid|adv.|确实；的确|Indeed, it was a great day.|的确，那是美好的一天。|听力功能词与连接表达
actually|ˈæktʃuəli|adv.|实际上|Actually, I forgot my keys.|实际上，我忘带钥匙了。|听力功能词与连接表达
basically|ˈbeɪsɪkli|adv.|基本上|Basically, the plan is simple.|基本上，这计划很简单。|听力功能词与连接表达
essentially|ɪˈsɛnʃəli|adv.|本质上|Essentially, they share a goal.|本质上，他们有共同目标。|听力功能词与连接表达
generally|ˈdʒɛnərəli|adv.|通常；普遍|I generally get up at seven.|我通常七点起床。|听力功能词与连接表达
typically|ˈtɪpɪkli|adv.|通常；典型地|The store typically opens at nine.|这家店通常九点开门。|听力功能词与连接表达
normally|ˈnɔrməli|adv.|正常地；通常|Work normally starts at nine.|工作通常九点开始。|听力功能词与连接表达
usually|ˈjuʒuəli|adv.|通常|We usually eat out on Fridays.|我们通常在周五外出吃饭。|听力功能词与连接表达
often|ˈɔfən|adv.|经常|She often walks to school.|她经常步行上学。|听力功能词与连接表达
always|ˈɔlweɪz|adv.|总是|He always arrives on time.|他总是准时到达。|听力功能词与连接表达
never|ˈnɛvər|adv.|从不|I never drink coffee at night.|我从不在晚上喝咖啡。|听力功能词与连接表达
sometimes|ˈsʌmtaɪmz|adv.|有时|Sometimes I cook for myself.|有时我给自己做饭。|听力功能词与连接表达
seldom|ˈsɛldəm|adv.|很少|He seldom goes to the gym.|他很少去健身房。|听力功能词与连接表达
rarely|ˈrɛrli|adv.|很少；罕见|She rarely eats fast food.|她很少吃快餐。|听力功能词与连接表达
frequently|ˈfrikwəntli|adv.|频繁地|We frequently chat after class.|课后我们经常聊天。|听力功能词与连接表达
occasionally|əˈkeɪʒənəli|adv.|偶尔|I occasionally visit my aunt.|我偶尔去看望姑妈。|听力功能词与连接表达
constantly|ˈkɑnstəntli|adv.|不断地|The phone rang constantly all day.|电话一整天响个不停。|听力功能词与连接表达
regularly|ˈrɛɡjələrli|adv.|定期；经常|He exercises regularly every morning.|他每天早晨定期锻炼。|听力功能词与连接表达
finally|ˈfaɪnəli|adv.|最终；最后|Finally, we reached the top.|最后我们到达了顶端。|听力功能词与连接表达
eventually|ɪˈvɛntʃuəli|adv.|最终|Eventually, he found his keys.|最后他找到了钥匙。|听力功能词与连接表达
initially|ɪˈnɪʃəli|adv.|起初|Initially, I liked the plan.|起初我喜欢这个计划。|听力功能词与连接表达
originally|əˈrɪdʒənəli|adv.|起初；原本|Originally, we planned to go.|起初我们计划去。|听力功能词与连接表达
previously|ˈpriviəsli|adv.|先前|Previously, he worked in Osaka.|以前他在大阪工作。|听力功能词与连接表达
subsequently|ˈsʌbsɪkwəntli|adv.|随后|Subsequently, the report was published.|随后报告发表了。|听力功能词与连接表达
recently|ˈrisəntli|adv.|最近|He recently moved to Boston.|他最近搬到了波士顿。|听力功能词与连接表达
currently|ˈkɜrəntli|adv.|当前|She is currently studying abroad.|她目前在国外学习。|听力功能词与连接表达
immediately|ɪˈmidiətli|adv.|立即|Please call me immediately.|请立即给我打电话。|听力功能词与连接表达
instantly|ˈɪnstəntli|adv.|立刻|The message was sent instantly.|消息立刻发出去了。|听力功能词与连接表达
fully|ˈfʊli|adv.|完全地|I fully understand your concern.|我完全理解你的担忧。|听力功能词与连接表达
completely|kəmˈplitli|adv.|完全地|The building was completely destroyed.|大楼被完全毁坏了。|听力功能词与连接表达
entirely|ɪnˈtaɪrli|adv.|完全地|The task was entirely different.|这个任务完全不同。|听力功能词与连接表达
totally|ˈtoʊtəli|adv.|完全地|I totally agree with you.|我完全同意你。|听力功能词与连接表达
quite|kwaɪt|adv.|相当|The test was quite difficult.|这次考试相当难。|听力功能词与连接表达
fairly|ˈfɛrli|adv.|相当|The exam was fairly easy.|这次考试相当容易。|听力功能词与连接表达
somewhat|ˈsʌmwʌt|adv.|稍微|I am somewhat worried about him.|我有点担心他。|听力功能词与连接表达
nearly|ˈnɪrli|adv.|几乎|It is nearly ten o'clock.|现在快十点了。|听力功能词与连接表达
almost|ˈɔlmoʊst|adv.|几乎|Almost everyone came on time.|几乎人人都准时到了。|听力功能词与连接表达
exactly|ɪɡˈzæktli|adv.|精确地|The train left exactly at nine.|火车恰好九点出发。|听力功能词与连接表达
precisely|prɪˈsaɪsli|adv.|精确地|The meeting starts precisely at ten.|会议十点整开始。|听力功能词与连接表达
approximately|əˈprɑksɪmətli|adv.|大约|The trip takes approximately two hours.|旅程大约需要两小时。|听力功能词与连接表达
roughly|ˈrʌfli|adv.|大致|Roughly, half of them agreed.|大致一半人同意。|听力功能词与连接表达
around|əˈraʊnd|adv.|大约|There are around fifty chairs.|大约有五十把椅子。|听力功能词与连接表达
likely|ˈlaɪkli|adj.|可能的|It is likely to rain tonight.|今晚很可能下雨。|听力功能词与连接表达
probably|ˈprɑbəbli|adv.|很可能|It will probably rain tonight.|今晚很可能下雨。|听力功能词与连接表达
perhaps|pərˈhæps|adv.|也许|Perhaps we should wait a bit.|也许我们该等一会儿。|听力功能词与连接表达
maybe|ˈmeɪbi|adv.|也许|Maybe it is not the right way.|也许这不是正确的方法。|听力功能词与连接表达
certainly|ˈsɜrtənli|adv.|当然|You are certainly welcome here.|你在这里当然受欢迎。|听力功能词与连接表达
definitely|ˈdɛfənətli|adv.|肯定|This is definitely the best choice.|这肯定是最好的选择。|听力功能词与连接表达
obviously|ˈɑbviəsli|adv.|显然|Obviously, the plan has failed.|显然，这个计划失败了。|听力功能词与连接表达
clearly|ˈklɪrli|adv.|清楚地|Please speak clearly and slowly.|请清楚而缓慢地说。|听力功能词与连接表达
apparently|əˈpærəntli|adv.|显然|Apparently, the shop is closed.|显然，这家店关门了。|听力功能词与连接表达
presumably|prɪˈzuməbli|adv.|据推测|Presumably, they are on the way.|据推测，他们在路上了。|听力功能词与连接表达
arguably|ˈɑrɡjuəbli|adv.|可说|This is arguably the best film.|这可以说是最好的电影。|听力功能词与连接表达
frankly|ˈfræŋkli|adv.|坦率地|Frankly, I do not like it.|坦率地说，我不喜欢它。|听力功能词与连接表达
honestly|ˈɑnɪstli|adv.|诚实地|Honestly, I was very surprised.|说实话，我非常惊讶。|听力功能词与连接表达
especially|ɪˈspɛʃəli|adv.|尤其|I love fruit, especially mangoes.|我喜欢水果，尤其是芒果。|听力功能词与连接表达
particularly|pərˈtɪkjələrli|adv.|特别地|This rule is particularly important.|这条规则特别重要。|听力功能词与连接表达
mainly|ˈmeɪnli|adv.|主要地|The talk was mainly about money.|这次谈话主要关于钱。|听力功能词与连接表达
mostly|ˈmoʊstli|adv.|大部分|The audience was mostly students.|观众大部分是学生。|听力功能词与连接表达
largely|ˈlɑrdʒli|adv.|大部分|The result was largely unexpected.|结果大多出人意料。|听力功能词与连接表达
well|wɛl|adv.|好；嗯|Well, let us begin the task.|嗯，让我们开始任务吧。|听力功能词与连接表达
okay|oʊˈkeɪ|adv.|好；可以|Okay, I will wait for you.|好的，我会等你。|听力功能词与连接表达
right|raɪt|adv.|对；正是|Right, we meet at the station.|对，我们在车站见面。|听力功能词与连接表达
now|naʊ|adv.|现在|We need to leave now.|我们现在必须离开。|听力功能词与连接表达
then|ðɛn|adv.|然后；那时|We were happy back then.|那时我们很快乐。|听力功能词与连接表达
soon|sun|adv.|很快|The bus will arrive soon.|公交车很快会到。|听力功能词与连接表达
later|ˈleɪtər|adv.|稍后|I will call you later.|我稍后会打给你。|听力功能词与连接表达
earlier|ˈɜrliər|adv.|更早|We met earlier this morning.|今天早晨我们更早见过。|听力功能词与连接表达
because|bɪˈkɔz|conj.|因为|We stayed home because it rained.|因为下雨我们待在家里。|听力功能词与连接表达
so|soʊ|conj.|所以|I was tired, so I slept.|我累了，所以我睡了。|听力功能词与连接表达
but|bʌt|conj.|但是|I tried hard but failed anyway.|我非常努力但还是失败了。|听力功能词与连接表达
and|ænd|conj.|和|She likes coffee and tea.|她喜欢咖啡和茶。|听力功能词与连接表达
or|ɔr|conj.|或者|Hurry up or you will miss it.|快点，否则你会错过。|听力功能词与连接表达
unless|ənˈlɛs|conj.|除非|You will fail unless you study.|除非你学习，否则你会失败。|听力功能词与连接表达
until|ənˈtɪl|conj.|直到|Wait here until I come back.|在这里等到我回来。|听力功能词与连接表达
since|sɪns|conj.|自从；因为|Since it is late, let us sleep.|既然晚了，我们睡吧。|听力功能词与连接表达
once|wʌns|conj.|一旦；曾经|Once you start, keep going.|一旦开始，就继续下去。|听力功能词与连接表达
when|wɛn|conj.|当|I saw her when I left.|我离开时看见了她。|听力功能词与连接表达
where|wɛr|conj.|哪里|This is where we first met.|这是我们初次相遇的地方。|听力功能词与连接表达
why|waɪ|adv.|为什么|I wonder why he left early.|我想知道他为何早走。|听力功能词与连接表达
how|haʊ|adv.|怎样|Show me how to cook it.|教我怎么烹饪它。|听力功能词与连接表达
if|ɪf|conj.|如果|If you come, we will play.|如果你来，我们就玩。|听力功能词与连接表达
whether|ˈwɛðər|conj.|是否|I doubt whether it will work.|我怀疑它是否管用。|听力功能词与连接表达
anyway|ˈɛniweɪ|adv.|无论如何|It was costly, but we went anyway.|很贵，但我们还是去了。|听力功能词与连接表达
surely|ˈʃʊrli|adv.|必定|Surely you can finish it today.|你必定能在今天完成。|听力功能词与连接表达
as a result|æz ə rɪˈzʌlt|phr.|因此；结果|As a result, we missed the train.|结果我们错过了火车。|听力功能词与连接表达
as a consequence|æz ə ˈkɑnsəkwɛns|phr.|结果；因此|As a consequence, prices went down.|结果，价格下跌了。|听力功能词与连接表达
in addition|ɪn əˈdɪʃən|phr.|此外；另外|In addition, we need more money.|此外，我们需要更多的钱。|听力功能词与连接表达
in addition to|ɪn əˈdɪʃən tu|phr.|除...之外|In addition to books, he bought pens.|除了书，他还买了笔。|听力功能词与连接表达
in terms of|ɪn tɜrmz əv|phr.|就...而言|In terms of price, it is cheap.|就价格而言，它很便宜。|听力功能词与连接表达
for example|fɔr ɪɡˈzæmpəl|phr.|例如|For example, apples are healthy.|例如，苹果很健康。|听力功能词与连接表达
for instance|fɔr ˈɪnstəns|phr.|例如|For instance, take the red train.|例如，乘红色的火车。|听力功能词与连接表达
such as|sʌtʃ æz|phr.|例如；诸如|Fruits such as apples are tasty.|像苹果这样的水果很好吃。|听力功能词与连接表达
that is|ðæt ɪz|phr.|也就是说；即|He is a doctor, that is, a surgeon.|他是医生，也就是外科医生。|听力功能词与连接表达
in other words|ɪn ˈʌðər wɜrdz|phr.|换句话说|In other words, you must stop.|换句话说，你必须停下来。|听力功能词与连接表达
on the other hand|ɑn ðə ˈʌðər hænd|phr.|另一方面|On the other hand, it is risky.|另一方面，这有风险。|听力功能词与连接表达
on the contrary|ɑn ðə ˈkɑntrɛri|phr.|相反|On the contrary, it was helpful.|相反，它很有帮助。|听力功能词与连接表达
in contrast|ɪn ˈkɑntræst|phr.|相比之下|In contrast, the second is better.|相比之下，第二个更好。|听力功能词与连接表达
by contrast|baɪ ˈkɑntræst|phr.|相比之下|By contrast, she loves winter.|相比之下，她喜欢冬天。|听力功能词与连接表达
even though|ˈivən ðoʊ|phr.|尽管|Even though he was tired, he ran.|尽管累了，他还是跑了。|听力功能词与连接表达
even if|ˈivən ɪf|phr.|即使|Even if it snows, we will go.|即使下雪，我们也会去。|听力功能词与连接表达
as if|æz ɪf|phr.|好像|He talked as if he knew everything.|他说得好像无所不知。|听力功能词与连接表达
as though|æz ðoʊ|phr.|好像|She acted as though she was happy.|她表现得好像很开心。|听力功能词与连接表达
in case|ɪn keɪs|phr.|以防|Take an umbrella in case it rains.|带把伞以防下雨。|听力功能词与连接表达
in case of|ɪn keɪs əv|phr.|如果发生|In case of fire, call for help.|如果起火，请呼救。|听力功能词与连接表达
so that|soʊ ðæt|phr.|以便|Speak loudly so that we hear.|大声说以便我们能听到。|听力功能词与连接表达
such that|sʌtʃ ðæt|phr.|以致|The noise was such that we left.|噪音太大，我们离开了。|听力功能词与连接表达
now that|naʊ ðæt|phr.|既然|Now that you are here, let us start.|既然你来了，我们开始吧。|听力功能词与连接表达
as long as|æz lɔŋ æz|phr.|只要|You can stay as long as you want.|只要你想就可以留下。|听力功能词与连接表达
as soon as|æz sun æz|phr.|一...就|Call me as soon as you arrive.|你一到就给我打电话。|听力功能词与连接表达
as far as|æz fɑr æz|phr.|就...而言|As far as I know, he left.|据我所知，他离开了。|听力功能词与连接表达
as for|æz fɔr|phr.|至于|As for me, I agree with you.|至于我，我同意你。|听力功能词与连接表达
as to|æz tu|phr.|关于；至于|He asked as to the price.|他问了关于价格的事。|听力功能词与连接表达
according to|əˈkɔrdɪŋ tu|phr.|根据|According to him, it is true.|据他说，这是真的。|听力功能词与连接表达
due to|du tu|phr.|由于|The game was off due to rain.|比赛因雨取消。|听力功能词与连接表达
owing to|ˈoʊɪŋ tu|phr.|由于|Owing to the fog, flights were delayed.|由于大雾，航班延误了。|听力功能词与连接表达
thanks to|θæŋks tu|phr.|多亏；由于|Thanks to you, we finished early.|多亏你，我们提前完成了。|听力功能词与连接表达
because of|bɪˈkɔz əv|phr.|因为|We stayed in because of the rain.|因为下雨我们待在室内。|听力功能词与连接表达
in spite of|ɪn spaɪt əv|phr.|尽管|In spite of pain, he kept moving.|尽管疼痛，他仍继续前进。|听力功能词与连接表达
apart from|əˈpɑrt frəm|phr.|除...之外|Apart from John, everyone came.|除约翰外，大家都来了。|听力功能词与连接表达
except for|ɪkˈsɛpt fɔr|phr.|除了|Except for Peter, all passed.|除了彼得，所有人都通过了。|听力功能词与连接表达
instead of|ɪnˈstɛd əv|phr.|而不是|We took the bus instead of walking.|我们坐了公交而不是走路。|听力功能词与连接表达
rather than|ˈræðər ðæn|phr.|而不是|He chose tea rather than coffee.|他选了茶而不是咖啡。|听力功能词与连接表达
as well|æz wɛl|phr.|也；同样|She sings and dances as well.|她既会唱也会跳。|听力功能词与连接表达
as well as|æz wɛl æz|phr.|以及；也|He speaks English as well as French.|他会说英语和法语。|听力功能词与连接表达
more and more|mɔr ænd mɔr|phr.|越来越多|More and more people cycle to work.|越来越多的人骑车上班。|听力功能词与连接表达
less and less|lɛs ænd lɛs|phr.|越来越少|He reads less and less now.|他现在读得越来越少了。|听力功能词与连接表达
again and again|əˈɡɛn ænd əˈɡɛn|phr.|一再地|He repeated it again and again.|他反复重复这件事。|听力功能词与连接表达
on and on|ɑn ænd ɑn|phr.|不停地|He talked on and on for hours.|他滔滔不绝讲了几个小时。|听力功能词与连接表达
up to now|ʌp tu naʊ|phr.|直到现在|Up to now, all is well.|直到现在一切正常。|听力功能词与连接表达
one another|wʌn əˈnʌðər|phr.|互相|They help one another every day.|他们每天互相帮助。|听力功能词与连接表达
each other|itʃ ˈʌðər|phr.|彼此|The twins love each other.|这对双胞胎彼此相爱。|听力功能词与连接表达
first of all|fɜrst əv ɔl|phr.|首先|First of all, let me introduce myself.|首先，让我自我介绍一下。|听力功能词与连接表达
last but not least|læst bʌt nɑt list|phr.|最后但同样重要|Last but not least, thank you all.|最后但同样重要，谢谢大家。|听力功能词与连接表达
to sum up|tu sʌm ʌp|phr.|总而言之|To sum up, we did our best.|总而言之，我们尽力了。|听力功能词与连接表达
in conclusion|ɪn kənˈkluʒən|phr.|总之|In conclusion, I support the plan.|总之，我支持这个计划。|听力功能词与连接表达
in short|ɪn ʃɔrt|phr.|简而言之|In short, time is running out.|简而言之，时间不多了。|听力功能词与连接表达
in brief|ɪn brif|phr.|简言之|In brief, the plan sounds good.|简言之，这计划听起来不错。|听力功能词与连接表达
after all|ˈæftər ɔl|phr.|毕竟|After all, it was just a joke.|毕竟，这只是个玩笑。|听力功能词与连接表达
above all|əˈbʌv ɔl|phr.|最重要的是|Above all, stay safe and healthy.|最重要的是保持安全和健康。|听力功能词与连接表达
all in all|ɔl ɪn ɔl|phr.|总的来说|All in all, it was a great trip.|总的来说，这是一次很棒的旅行。|听力功能词与连接表达
on the whole|ɑn ðə hoʊl|phr.|总的来说|On the whole, the plan worked.|总的来说，计划成功了。|听力功能词与连接表达
in general|ɪn ˈdʒɛnərəl|phr.|一般来说|In general, the food is good.|总的来说，这食物不错。|听力功能词与连接表达
in particular|ɪn pərˈtɪkjələr|phr.|尤其|I love sport, in particular football.|我特别喜欢体育，尤其是足球。|听力功能词与连接表达
of course|əv kɔrs|phr.|当然|Of course, you may come with us.|当然，你可以跟我们来。|听力功能词与连接表达
no doubt|noʊ daʊt|phr.|无疑|No doubt, he will win the game.|毫无疑问，他会赢得比赛。|听力功能词与连接表达
without doubt|wɪˈðaʊt daʊt|phr.|毫无疑问|Without doubt, she is the best.|毫无疑问，她是最棒的。|听力功能词与连接表达
hardly ever|ˈhɑrdli ˈɛvər|phr.|几乎从不|He hardly ever eats fish.|他几乎从不吃鱼。|听力功能词与连接表达
no longer|noʊ ˈlɔŋɡər|phr.|不再|She no longer works here.|她不再在这里工作了。|听力功能词与连接表达
no more|noʊ mɔr|phr.|不再|There is no more milk left.|再没有牛奶剩下了。|听力功能词与连接表达
any more|ˈɛni mɔr|phr.|再|I will not wait any more.|我不再等了。|听力功能词与连接表达
at least|æt list|phr.|至少|At least five people came.|至少来了五个人。|听力功能词与连接表达
at most|æt moʊst|phr.|至多|It takes at most an hour.|这至多花一个小时。|听力功能词与连接表达
at all|æt ɔl|phr.|根本|I do not agree at all.|我根本不同意。|听力功能词与连接表达
in total|ɪn ˈtoʊtəl|phr.|总共|We collected one hundred dollars in total.|我们总共收集了一百美元。|听力功能词与连接表达
on average|ɑn ˈævərɪdʒ|phr.|平均|On average, we receive ten calls.|我们平均接到十通电话。|听力功能词与连接表达
for sure|fɔr ʃʊr|phr.|确定地|I know for sure he is lying.|我确定他在撒谎。|听力功能词与连接表达
for good|fɔr ɡʊd|phr.|永远|He left the town for good.|他永远离开了这个镇。|听力功能词与连接表达
for once|fɔr wʌns|phr.|这一次|For once, please listen to me.|这一次请听我说。|听力功能词与连接表达
by the way|baɪ ðə weɪ|phr.|顺便说|By the way, do you like tea?|顺便问一下，你喜欢茶吗？|听力功能词与连接表达
on time|ɑn taɪm|phr.|准时|Please arrive on time tomorrow.|明天请准时到。|听力功能词与连接表达
in time|ɪn taɪm|phr.|及时|We got there in time for the show.|我们及时赶到看演出。|听力功能词与连接表达
ahead of time|əˈhɛd əv taɪm|phr.|提前|Finish the work ahead of time.|提前完成工作。|听力功能词与连接表达
in the meantime|ɪn ðə ˈminˌtaɪm|phr.|在此期间|Prepare dinner in the meantime.|在此期间准备晚餐。|听力功能词与连接表达
in the long run|ɪn ðə lɔŋ rʌn|phr.|从长远看|In the long run, it pays off.|从长远看，这是值得的。|听力功能词与连接表达
in the short run|ɪn ðə ʃɔrt rʌn|phr.|短期内|In the short run, costs rise.|短期内成本会上升。|听力功能词与连接表达
at last|æt læst|phr.|终于|At last, the bus arrived.|公交车终于到了。|听力功能词与连接表达
at first|æt fɜrst|phr.|起初|At first, I did not like it.|起初我并不喜欢它。|听力功能词与连接表达
at once|æt wʌns|phr.|立刻|Come here at once, please.|请立刻过来。|听力功能词与连接表达
at the same time|æt ðə seɪm taɪm|phr.|同时|We spoke at the same time.|我们同时开口说话。|听力功能词与连接表达
in the end|ɪn ðə ɛnd|phr.|最后|In the end, we got home safely.|最后我们安全到家了。|听力功能词与连接表达
in the beginning|ɪn ðə bɪˈɡɪnɪŋ|phr.|起初|In the beginning, it was hard.|起初这很困难。|听力功能词与连接表达
by now|baɪ naʊ|phr.|到现在|By now, he has already arrived.|到现在他已经到了。|听力功能词与连接表达
so far|soʊ fɑr|phr.|目前为止|So far, everything goes well.|到目前为止，一切顺利。|听力功能词与连接表达
until now|ənˈtɪl naʊ|phr.|直到现在|Until now, no one has solved it.|直到现在没人解决它。|听力功能词与连接表达
from now on|frəm naʊ ɑn|phr.|从现在起|From now on, be more careful.|从现在起，更加小心。|听力功能词与连接表达
from time to time|frəm taɪm tu taɪm|phr.|不时|I exercise from time to time.|我时不时锻炼一下。|听力功能词与连接表达
